epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.371,0.78252,0.82495,1,0.52733,0.0703529,0.00329412,0.00329412
2,15.8084,0.65708,0.62582,1,0.89398,0.0403311,0.00660558,0.00660558
3,20.0965,0.68648,0.68271,1,0.85646,0.0102872,0.00989504,0.00989504
4,24.3852,0.68374,0.81838,0.96937,0.61003,0.009901,0.009901,0.009901
5,28.5714,0.69347,0.81838,1,0.95404,0.009868,0.009868,0.009868
6,32.9047,0.61485,0.74179,0.98031,0.7915,0.009835,0.009835,0.009835
7,37.247,0.68348,0.61488,0.98906,1.03919,0.009802,0.009802,0.009802
8,41.6064,0.65274,0.82276,1,0.55462,0.009769,0.009769,0.009769
9,45.8147,0.61362,0.84464,0.99781,0.52695,0.009736,0.009736,0.009736
10,50.6232,0.72604,0.82495,0.99125,0.58538,0.009703,0.009703,0.009703
11,55.3207,0.55621,0.83807,1,0.5694,0.00967,0.00967,0.00967
12,59.8469,0.57951,0.85558,1,0.49336,0.009637,0.009637,0.009637
13,64.3031,0.57004,0.8512,1,0.60574,0.009604,0.009604,0.009604
14,69.0037,0.93145,0.82713,1,0.56606,0.009571,0.009571,0.009571
15,73.3842,0.72677,0.80744,1,0.55467,0.009538,0.009538,0.009538
16,77.8598,0.52589,0.58643,1,0.80299,0.009505,0.009505,0.009505
17,82.8399,0.49346,0.73304,1,0.66763,0.009472,0.009472,0.009472
18,87.432,0.59591,0.82713,1,0.47978,0.009439,0.009439,0.009439
19,91.7158,0.50224,0.84683,1,0.41294,0.009406,0.009406,0.009406
20,95.8601,0.45697,0.76805,1,0.54316,0.009373,0.009373,0.009373
21,100.066,0.45253,0.84683,0.99781,0.54148,0.00934,0.00934,0.00934
22,105.616,0.45306,0.87527,1,0.4023,0.009307,0.009307,0.009307
23,110.568,0.43855,0.76805,1,0.55978,0.009274,0.009274,0.009274
24,114.738,0.44705,0.76149,1,0.54688,0.009241,0.009241,0.009241
25,120.792,0.41651,0.78337,1,0.55101,0.009208,0.009208,0.009208
26,126.236,0.4418,0.8512,1,0.42398,0.009175,0.009175,0.009175
27,131.917,0.42694,0.72648,0.96937,0.90534,0.009142,0.009142,0.009142
28,136.95,0.44294,0.86652,0.99781,0.40999,0.009109,0.009109,0.009109
29,142.29,0.46244,0.89059,1,0.36322,0.009076,0.009076,0.009076
30,147.566,0.4062,0.69365,1,0.7043,0.009043,0.009043,0.009043
31,151.794,0.436,0.81182,1,0.4998,0.00901,0.00901,0.00901
32,156.039,0.49014,0.86433,1,0.36608,0.008977,0.008977,0.008977
33,160.272,0.44556,0.77899,1,0.44642,0.008944,0.008944,0.008944
34,164.571,0.45385,0.82276,0.99781,0.40894,0.008911,0.008911,0.008911
35,168.883,0.39147,0.73085,0.99781,0.64832,0.008878,0.008878,0.008878
36,173.193,0.35891,0.75492,1,0.51171,0.008845,0.008845,0.008845
37,177.387,0.35955,0.85777,1,0.43162,0.008812,0.008812,0.008812
38,183.458,0.36343,0.76368,0.99781,0.55552,0.008779,0.008779,0.008779
39,188.992,0.36957,0.84245,0.99781,0.40407,0.008746,0.008746,0.008746
40,193.953,0.35633,0.83807,0.99781,0.43755,0.008713,0.008713,0.008713
41,198.217,0.4083,0.8512,0.99781,0.46808,0.00868,0.00868,0.00868
42,202.511,0.37517,0.80744,1,0.51515,0.008647,0.008647,0.008647
43,206.76,0.34386,0.80744,1,0.51325,0.008614,0.008614,0.008614
44,211.434,0.45717,0.84902,1,0.41259,0.008581,0.008581,0.008581
45,216.378,0.36739,0.85558,1,0.41794,0.008548,0.008548,0.008548
