epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.2547,0.54106,0.78727,1,0.46243,0.0703448,0.00329502,0.00329502
2,23.4477,0.55766,0.78224,1,0.54089,0.040323,0.00660648,0.00660648
3,32.2922,0.55992,0.67839,1,0.67005,0.0102791,0.00989594,0.00989594
4,41.5359,0.55098,0.48744,1,1.0027,0.009901,0.009901,0.009901
5,50.2736,0.68002,0.71189,1,0.55011,0.009868,0.009868,0.009868
6,56.7155,0.5626,0.80067,1,0.45961,0.009835,0.009835,0.009835
7,63.5689,0.58246,0.78727,1,0.47172,0.009802,0.009802,0.009802
8,70.8274,0.53187,0.76214,1,0.43928,0.009769,0.009769,0.009769
9,80.1888,0.5139,0.75712,1,0.51448,0.009736,0.009736,0.009736
10,89.2802,0.48405,0.72194,1,0.46388,0.009703,0.009703,0.009703
11,97.74,0.47485,0.76549,1,0.42947,0.00967,0.00967,0.00967
12,104.509,0.4899,0.79062,1,0.4374,0.009637,0.009637,0.009637
13,111.45,0.48945,0.77554,1,0.4265,0.009604,0.009604,0.009604
14,118.541,0.46209,0.77052,1,0.42346,0.009571,0.009571,0.009571
15,127.552,0.45896,0.72529,1,0.51944,0.009538,0.009538,0.009538
16,136.528,0.49544,0.78559,1,0.4061,0.009505,0.009505,0.009505
17,144.171,0.45231,0.68844,1,0.54996,0.009472,0.009472,0.009472
18,151.309,0.43507,0.77722,1,0.44994,0.009439,0.009439,0.009439
19,158.377,0.43598,0.78392,1,0.39467,0.009406,0.009406,0.009406
20,165.416,0.4516,0.75377,1,0.49989,0.009373,0.009373,0.009373
21,174.455,0.44193,0.75712,1,0.43219,0.00934,0.00934,0.00934
22,186.16,0.43069,0.80905,1,0.3788,0.009307,0.009307,0.009307
23,203.342,0.44466,0.79397,1,0.40071,0.009274,0.009274,0.009274
24,211.512,0.43066,0.76884,1,0.42919,0.009241,0.009241,0.009241
25,220.867,0.43091,0.82077,1,0.37224,0.009208,0.009208,0.009208
26,230.332,0.42632,0.77722,1,0.44635,0.009175,0.009175,0.009175
27,237.478,0.39979,0.78057,1,0.42689,0.009142,0.009142,0.009142
28,244.22,0.40126,0.82077,1,0.38047,0.009109,0.009109,0.009109
29,251.366,0.40172,0.79564,1,0.39235,0.009076,0.009076,0.009076
30,260.658,0.42851,0.70017,1,0.59357,0.009043,0.009043,0.009043
31,269.864,0.40529,0.80737,1,0.36683,0.00901,0.00901,0.00901
32,278.456,0.41253,0.76214,1,0.44224,0.008977,0.008977,0.008977
33,285.648,0.41138,0.74539,1,0.52842,0.008944,0.008944,0.008944
34,292.844,0.39482,0.75879,1,0.46847,0.008911,0.008911,0.008911
35,301.334,0.39018,0.80737,1,0.37593,0.008878,0.008878,0.008878
36,310.384,0.39947,0.70184,1,0.54068,0.008845,0.008845,0.008845
37,319.379,0.37691,0.83417,1,0.33014,0.008812,0.008812,0.008812
38,325.71,0.39938,0.70017,1,0.55927,0.008779,0.008779,0.008779
39,332.433,0.37829,0.72362,1,0.54346,0.008746,0.008746,0.008746
40,339.695,0.38952,0.80905,1,0.38744,0.008713,0.008713,0.008713
41,348.874,0.40168,0.80067,1,0.38511,0.00868,0.00868,0.00868
42,357.867,0.39795,0.83752,1,0.33206,0.008647,0.008647,0.008647
43,372.659,0.38036,0.80737,1,0.39156,0.008614,0.008614,0.008614
44,379.267,0.37379,0.82077,1,0.37686,0.008581,0.008581,0.008581
45,388.321,0.37094,0.77554,1,0.43206,0.008548,0.008548,0.008548
46,405.02,0.34727,0.83752,1,0.34489,0.008515,0.008515,0.008515
47,411.278,0.37661,0.78057,1,0.42628,0.008482,0.008482,0.008482
48,418.645,0.37433,0.79899,1,0.41016,0.008449,0.008449,0.008449
49,429.769,0.37634,0.79899,1,0.41424,0.008416,0.008416,0.008416
50,439.098,0.35678,0.83082,1,0.35354,0.008383,0.008383,0.008383
51,448.032,0.33899,0.83752,1,0.33542,0.00835,0.00835,0.00835
52,455.009,0.34779,0.83417,1,0.33689,0.008317,0.008317,0.008317
53,461.915,0.35434,0.76382,1,0.48053,0.008284,0.008284,0.008284
54,469.439,0.37602,0.81575,1,0.3617,0.008251,0.008251,0.008251
55,478.7,0.35769,0.80067,1,0.41418,0.008218,0.008218,0.008218
56,487.652,0.34519,0.83417,1,0.32707,0.008185,0.008185,0.008185
57,495.272,0.35505,0.8392,1,0.34067,0.008152,0.008152,0.008152
58,501.6,0.349,0.76214,1,0.49608,0.008119,0.008119,0.008119
59,507.961,0.33313,0.80402,1,0.4158,0.008086,0.008086,0.008086
60,515.648,0.35085,0.84255,1,0.31561,0.008053,0.008053,0.008053
61,524.967,0.33249,0.78224,1,0.43443,0.00802,0.00802,0.00802
62,534.129,0.33865,0.81742,1,0.33874,0.007987,0.007987,0.007987
63,542.131,0.36075,0.81072,1,0.35203,0.007954,0.007954,0.007954
64,548.488,0.34333,0.8124,1,0.35444,0.007921,0.007921,0.007921
65,554.851,0.36966,0.71524,1,0.59376,0.007888,0.007888,0.007888
66,562.217,0.37188,0.80067,1,0.37636,0.007855,0.007855,0.007855
67,571.243,0.32973,0.82747,1,0.36937,0.007822,0.007822,0.007822
68,580.377,0.32667,0.75377,1,0.4849,0.007789,0.007789,0.007789
69,588.275,0.33723,0.80235,1,0.37124,0.007756,0.007756,0.007756
70,595.375,0.32893,0.81407,1,0.37823,0.007723,0.007723,0.007723
71,602.522,0.30601,0.83082,1,0.32838,0.00769,0.00769,0.00769
72,611.427,0.30932,0.8258,1,0.35486,0.007657,0.007657,0.007657
73,620.465,0.31367,0.79397,1,0.40871,0.007624,0.007624,0.007624
74,628.805,0.32353,0.82412,1,0.35711,0.007591,0.007591,0.007591
75,635.256,0.31293,0.81575,1,0.39305,0.007558,0.007558,0.007558
76,642.243,0.33627,0.78894,1,0.39316,0.007525,0.007525,0.007525
77,650.424,0.30253,0.80905,1,0.41701,0.007492,0.007492,0.007492
78,663.781,0.31737,0.80737,1,0.35907,0.007459,0.007459,0.007459
79,672.808,0.30721,0.80235,1,0.38919,0.007426,0.007426,0.007426
80,679.694,0.30835,0.82915,1,0.34876,0.007393,0.007393,0.007393
81,686.025,0.34395,0.81742,1,0.35806,0.00736,0.00736,0.00736
