epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.0347,0.15524,0.98434,1,0.06857,0.0704615,0.00328205,0.00328205
2,16.6089,0.10855,0.96644,1,0.08101,0.0404397,0.00659355,0.00659355
3,20.8592,0.1421,0.77405,1,1.02947,0.0103959,0.00988306,0.00988306
4,25.4259,0.15699,1,1,0.05501,0.009901,0.009901,0.009901
5,30.0764,0.15713,0.99776,1,0.03535,0.009868,0.009868,0.009868
6,34.8983,0.13926,0.99776,1,0.04684,0.009835,0.009835,0.009835
7,39.7272,0.10855,1,1,0.02131,0.009802,0.009802,0.009802
8,44.425,0.13667,0.99553,1,0.10494,0.009769,0.009769,0.009769
9,48.9842,0.12454,1,1,0.0128,0.009736,0.009736,0.009736
10,53.7037,0.11279,1,1,0.01546,0.009703,0.009703,0.009703
11,58.4313,0.09247,1,1,0.01193,0.00967,0.00967,0.00967
12,62.8175,0.10259,0.97315,1,0.08882,0.009637,0.009637,0.009637
13,67.1035,0.09254,0.99776,1,0.02503,0.009604,0.009604,0.009604
14,70.2596,0.07484,1,1,0.00991,0.009571,0.009571,0.009571
15,73.5358,0.09145,1,1,0.00983,0.009538,0.009538,0.009538
16,76.876,0.05634,0.98658,1,0.03689,0.009505,0.009505,0.009505
17,80.0741,0.07494,0.88814,1,0.25516,0.009472,0.009472,0.009472
18,84.098,0.07501,0.98658,1,0.05691,0.009439,0.009439,0.009439
19,88.1356,0.07631,0.99776,1,0.0192,0.009406,0.009406,0.009406
20,92.3471,0.05917,0.97763,1,0.07101,0.009373,0.009373,0.009373
21,96.9836,0.06399,0.95749,1,0.07843,0.00934,0.00934,0.00934
22,102.025,0.0802,0.97315,1,0.07377,0.009307,0.009307,0.009307
23,106.527,0.06499,0.99329,1,0.05116,0.009274,0.009274,0.009274
24,111.384,0.08246,0.96868,1,0.12554,0.009241,0.009241,0.009241
25,116.144,0.07556,1,1,0.01266,0.009208,0.009208,0.009208
26,121.068,0.05423,1,1,0.02296,0.009175,0.009175,0.009175
27,125.456,0.0548,1,1,0.00803,0.009142,0.009142,0.009142
28,130.516,0.0507,0.99776,1,0.02962,0.009109,0.009109,0.009109
29,135.202,0.05413,1,1,0.01516,0.009076,0.009076,0.009076
30,140.047,0.0526,0.98434,1,0.02965,0.009043,0.009043,0.009043
31,144.231,0.05407,0.9821,1,0.03451,0.00901,0.00901,0.00901
32,148.733,0.05411,1,1,0.03046,0.008977,0.008977,0.008977
33,153.563,0.06126,0.97763,1,0.05441,0.008944,0.008944,0.008944
34,158.507,0.04931,1,1,0.00832,0.008911,0.008911,0.008911
35,163.275,0.05945,0.99776,1,0.0212,0.008878,0.008878,0.008878
36,168.043,0.05406,1,1,0.0189,0.008845,0.008845,0.008845
37,172.883,0.06227,1,1,0.01738,0.008812,0.008812,0.008812
38,177.449,0.0559,1,1,0.02249,0.008779,0.008779,0.008779
39,182.076,0.04416,0.9821,1,0.05537,0.008746,0.008746,0.008746
40,186.685,0.07593,1,1,0.00639,0.008713,0.008713,0.008713
41,191.484,0.05333,1,1,0.01041,0.00868,0.00868,0.00868
42,195.409,0.07126,0.96644,1,0.09638,0.008647,0.008647,0.008647
43,200.075,0.04175,0.99776,1,0.01631,0.008614,0.008614,0.008614
44,204.776,0.04543,1,1,0.00469,0.008581,0.008581,0.008581
45,209.383,0.04048,0.98881,1,0.03153,0.008548,0.008548,0.008548
46,214.123,0.04602,1,1,0.00265,0.008515,0.008515,0.008515
