epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.6828,0.29989,0.9964,1,0.03575,0.0703704,0.00329218,0.00329218
2,25.9496,0.19014,0.82014,1,0.51698,0.0403485,0.00660365,0.00660365
3,33.8483,0.23423,0.82734,1,0.6024,0.0103046,0.00989312,0.00989312
4,40.8511,0.18893,0.97842,1,0.05423,0.009901,0.009901,0.009901
5,48.1352,0.1934,0.96403,1,0.18589,0.009868,0.009868,0.009868
6,55.1461,0.21621,0.98741,1,0.03334,0.009835,0.009835,0.009835
7,63.4501,0.18036,0.96223,1,0.06948,0.009802,0.009802,0.009802
8,71.9194,0.19203,0.98561,1,0.03324,0.009769,0.009769,0.009769
9,80.3864,0.15934,0.91187,1,0.18656,0.009736,0.009736,0.009736
10,86.7474,0.17253,0.98022,1,0.09736,0.009703,0.009703,0.009703
11,93.8938,0.15993,0.97842,1,0.07567,0.00967,0.00967,0.00967
12,105.515,0.14913,0.97842,1,0.0622,0.009637,0.009637,0.009637
13,113.238,0.15515,0.98921,1,0.02971,0.009604,0.009604,0.009604
14,131.223,0.09388,0.95683,1,0.07357,0.009571,0.009571,0.009571
15,143.816,0.12868,0.98381,1,0.04928,0.009538,0.009538,0.009538
16,154.79,0.13604,0.97482,1,0.07404,0.009505,0.009505,0.009505
17,169.97,0.11966,0.96583,1,0.0784,0.009472,0.009472,0.009472
18,179.785,0.10037,0.96942,1,0.06519,0.009439,0.009439,0.009439
19,195.858,0.09225,0.98201,1,0.03796,0.009406,0.009406,0.009406
20,218.916,0.11498,1,1,0.01267,0.009373,0.009373,0.009373
21,234.8,0.08702,0.97122,1,0.09567,0.00934,0.00934,0.00934
22,246.065,0.11348,0.91906,1,0.16767,0.009307,0.009307,0.009307
23,256.046,0.09279,0.96942,1,0.05894,0.009274,0.009274,0.009274
24,271.871,0.0687,0.98381,1,0.03992,0.009241,0.009241,0.009241
25,287.715,0.09472,0.98741,1,0.04524,0.009208,0.009208,0.009208
26,302.077,0.04703,0.98561,1,0.03317,0.009175,0.009175,0.009175
27,323.935,0.07764,0.97302,1,0.07166,0.009142,0.009142,0.009142
28,350.543,0.07314,0.96763,1,0.10278,0.009109,0.009109,0.009109
29,374.056,0.04353,0.98561,1,0.0549,0.009076,0.009076,0.009076
30,390.732,0.07859,0.98921,1,0.025,0.009043,0.009043,0.009043
31,410.63,0.07277,0.99281,1,0.02785,0.00901,0.00901,0.00901
32,426.137,0.06231,0.9964,1,0.01306,0.008977,0.008977,0.008977
33,434.71,0.0483,0.98921,1,0.03024,0.008944,0.008944,0.008944
34,455.076,0.06868,0.96942,1,0.06802,0.008911,0.008911,0.008911
35,472.32,0.05369,0.98201,1,0.04717,0.008878,0.008878,0.008878
36,487.828,0.04625,0.9946,1,0.01839,0.008845,0.008845,0.008845
37,497.72,0.06098,0.99101,1,0.01666,0.008812,0.008812,0.008812
38,514.266,0.05557,1,1,0.00285,0.008779,0.008779,0.008779
39,525.753,0.05314,0.9946,1,0.00958,0.008746,0.008746,0.008746
40,537.387,0.06014,0.99281,1,0.03107,0.008713,0.008713,0.008713
41,550.764,0.0491,0.9946,1,0.01253,0.00868,0.00868,0.00868
42,559.275,0.04105,0.98381,1,0.04893,0.008647,0.008647,0.008647
43,568.013,0.05207,1,1,0.01041,0.008614,0.008614,0.008614
44,575.613,0.05359,0.9946,1,0.01713,0.008581,0.008581,0.008581
45,581.937,0.0586,0.98381,1,0.04516,0.008548,0.008548,0.008548
46,597.501,0.04494,1,1,0.00562,0.008515,0.008515,0.008515
47,606.116,0.04833,0.99281,1,0.0282,0.008482,0.008482,0.008482
48,614.317,0.05238,0.98381,1,0.04924,0.008449,0.008449,0.008449
49,622.971,0.04547,0.92806,1,0.17991,0.008416,0.008416,0.008416
50,631.354,0.06025,0.9982,1,0.02682,0.008383,0.008383,0.008383
51,646.159,0.0607,0.98921,1,0.03909,0.00835,0.00835,0.00835
52,654.891,0.04824,0.99101,1,0.02537,0.008317,0.008317,0.008317
53,662.952,0.03996,0.98381,1,0.04267,0.008284,0.008284,0.008284
54,672.168,0.04458,0.97842,1,0.05728,0.008251,0.008251,0.008251
55,678.113,0.04863,0.98921,1,0.05319,0.008218,0.008218,0.008218
56,695.609,0.04321,0.98921,1,0.0253,0.008185,0.008185,0.008185
57,704.284,0.03519,0.97482,1,0.08228,0.008152,0.008152,0.008152
58,713.053,0.02756,0.98201,1,0.05147,0.008119,0.008119,0.008119
59,719.393,0.05587,0.97302,1,0.06069,0.008086,0.008086,0.008086
60,727.579,0.04769,0.98022,1,0.06018,0.008053,0.008053,0.008053
61,740.511,0.04491,0.98921,1,0.03146,0.00802,0.00802,0.00802
62,749.489,0.05033,0.9982,1,0.01737,0.007987,0.007987,0.007987
63,758.398,0.05529,0.92086,1,0.1713,0.007954,0.007954,0.007954
64,769.118,0.03813,0.96403,1,0.07844,0.007921,0.007921,0.007921
65,775.235,0.03169,0.9964,1,0.007,0.007888,0.007888,0.007888
66,781.988,0.03689,0.93345,1,0.15339,0.007855,0.007855,0.007855
