epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.4372,0.76763,0.6307,1,0.82722,0.0703158,0.00329825,0.00329825
2,35.2944,0.69282,0.80091,1,0.65842,0.0402939,0.00660969,0.00660969
3,45.2004,0.71139,0.65198,0.99848,1.59603,0.01025,0.00989914,0.00989914
4,52.441,0.6612,0.75836,1,0.7505,0.009901,0.009901,0.009901
5,59.6133,0.70512,0.82371,0.99848,0.54699,0.009868,0.009868,0.009868
6,66.7356,0.66194,0.54407,0.97264,1.46536,0.009835,0.009835,0.009835
7,75.1722,0.61136,0.81915,1,0.4945,0.009802,0.009802,0.009802
8,85.2259,0.6643,0.65198,0.99392,0.94389,0.009769,0.009769,0.009769
9,95.2455,0.6281,0.81155,0.99848,0.6476,0.009736,0.009736,0.009736
10,102.275,0.54728,0.80243,0.99848,0.55675,0.009703,0.009703,0.009703
11,109.353,0.5265,0.82827,0.99696,0.52372,0.00967,0.00967,0.00967
12,116.598,0.54183,0.79179,0.99848,0.57295,0.009637,0.009637,0.009637
13,123.916,0.51204,0.80091,0.98632,0.62859,0.009604,0.009604,0.009604
14,133.523,0.53041,0.77812,0.99696,0.65533,0.009571,0.009571,0.009571
15,143.501,0.51645,0.80091,1,0.54603,0.009538,0.009538,0.009538
16,152.42,0.49817,0.83891,1,0.49522,0.009505,0.009505,0.009505
17,159.6,0.54582,0.79635,0.99848,0.51522,0.009472,0.009472,0.009472
18,166.849,0.45771,0.53799,1,1.27641,0.009439,0.009439,0.009439
19,174.147,0.47789,0.87538,0.99848,0.36502,0.009406,0.009406,0.009406
20,182.281,0.43468,0.86018,0.99848,0.38202,0.009373,0.009373,0.009373
21,192.278,0.43254,0.6459,0.99848,0.77682,0.00934,0.00934,0.00934
22,202.188,0.4394,0.84498,1,0.46926,0.009307,0.009307,0.009307
23,209.582,0.45897,0.79483,0.99848,0.49269,0.009274,0.009274,0.009274
24,216.691,0.51753,0.85258,1,0.37865,0.009241,0.009241,0.009241
25,223.697,0.48098,0.83739,0.99848,0.37827,0.009208,0.009208,0.009208
26,230.929,0.41151,0.78723,0.99848,0.5581,0.009175,0.009175,0.009175
27,240.01,0.48714,0.71277,0.99848,0.61174,0.009142,0.009142,0.009142
28,250.087,0.46145,0.83283,0.99848,0.39212,0.009109,0.009109,0.009109
29,259.4,0.40246,0.84802,0.99848,0.44965,0.009076,0.009076,0.009076
30,266.525,0.38425,0.85714,1,0.36887,0.009043,0.009043,0.009043
31,273.868,0.41786,0.87082,0.99848,0.38261,0.00901,0.00901,0.00901
32,281.148,0.38471,0.78723,0.99848,0.49974,0.008977,0.008977,0.008977
33,289.559,0.36751,0.87538,0.99848,0.36806,0.008944,0.008944,0.008944
34,299.657,0.39013,0.86322,0.99848,0.36821,0.008911,0.008911,0.008911
35,309.697,0.33446,0.89058,1,0.34664,0.008878,0.008878,0.008878
36,316.851,0.36293,0.81763,1,0.44179,0.008845,0.008845,0.008845
37,323.941,0.35264,0.84043,0.99848,0.45979,0.008812,0.008812,0.008812
38,330.992,0.33913,0.84498,0.98784,0.49189,0.008779,0.008779,0.008779
39,338.272,0.3854,0.92249,0.99848,0.28808,0.008746,0.008746,0.008746
40,347.537,0.33862,0.82371,1,0.43536,0.008713,0.008713,0.008713
41,357.545,0.31433,0.86778,1,0.33784,0.00868,0.00868,0.00868
42,366.773,0.35894,0.83891,1,0.38656,0.008647,0.008647,0.008647
43,373.895,0.32203,0.84347,1,0.5178,0.008614,0.008614,0.008614
44,380.979,0.33281,0.83891,0.99848,0.39276,0.008581,0.008581,0.008581
45,388.386,0.36165,0.8845,1,0.32642,0.008548,0.008548,0.008548
46,395.796,0.3149,0.87386,1,0.33281,0.008515,0.008515,0.008515
47,406.009,0.32846,0.79939,1,0.4347,0.008482,0.008482,0.008482
48,416.046,0.3258,0.78115,1,0.51701,0.008449,0.008449,0.008449
49,424.093,0.32041,0.81459,1,0.50753,0.008416,0.008416,0.008416
50,431.348,0.31718,0.82371,1,0.43994,0.008383,0.008383,0.008383
51,438.369,0.26958,0.91489,0.99848,0.30554,0.00835,0.00835,0.00835
52,445.443,0.29838,0.84195,0.99848,0.44791,0.008317,0.008317,0.008317
53,453.699,0.28841,0.87842,0.99848,0.39187,0.008284,0.008284,0.008284
54,463.745,0.29458,0.8693,1,0.32629,0.008251,0.008251,0.008251
55,473.703,0.27402,0.8845,1,0.34889,0.008218,0.008218,0.008218
56,480.861,0.27249,0.93313,1,0.23061,0.008185,0.008185,0.008185
57,487.988,0.26969,0.86018,0.99848,0.38936,0.008152,0.008152,0.008152
58,496.915,0.28774,0.89818,1,0.3219,0.008119,0.008119,0.008119
59,506.747,0.27181,0.89818,1,0.27817,0.008086,0.008086,0.008086
60,516.756,0.25343,0.88146,0.99848,0.31757,0.008053,0.008053,0.008053
61,526.079,0.27983,0.85866,0.99848,0.40859,0.00802,0.00802,0.00802
62,533.258,0.30275,0.90578,1,0.31467,0.007987,0.007987,0.007987
63,540.461,0.24622,0.84498,1,0.4439,0.007954,0.007954,0.007954
64,547.693,0.26656,0.90426,1,0.28063,0.007921,0.007921,0.007921
65,555.385,0.28529,0.92097,1,0.22267,0.007888,0.007888,0.007888
66,565.512,0.26082,0.92401,1,0.25467,0.007855,0.007855,0.007855
67,575.494,0.21394,0.8769,1,0.34018,0.007822,0.007822,0.007822
68,584.613,0.22562,0.94225,1,0.20245,0.007789,0.007789,0.007789
69,592.255,0.22518,0.92705,1,0.23062,0.007756,0.007756,0.007756
70,599.582,0.25178,0.92857,1,0.26771,0.007723,0.007723,0.007723
71,607.588,0.23359,0.90729,1,0.28328,0.00769,0.00769,0.00769
72,617.629,0.24607,0.93617,1,0.21272,0.007657,0.007657,0.007657
73,627.644,0.24413,0.91793,1,0.25641,0.007624,0.007624,0.007624
74,635.199,0.26399,0.88146,1,0.32377,0.007591,0.007591,0.007591
75,642.354,0.2972,0.93769,1,0.2266,0.007558,0.007558,0.007558
76,649.511,0.26126,0.91641,1,0.29467,0.007525,0.007525,0.007525
77,659,0.24155,0.92401,1,0.23731,0.007492,0.007492,0.007492
78,669.458,0.20281,0.93313,1,0.22331,0.007459,0.007459,0.007459
79,679.438,0.23986,0.93313,1,0.25347,0.007426,0.007426,0.007426
80,686.829,0.23377,0.90426,1,0.28201,0.007393,0.007393,0.007393
81,694.026,0.23308,0.83739,1,0.44941,0.00736,0.00736,0.00736
82,703.051,0.20326,0.91337,1,0.26269,0.007327,0.007327,0.007327
