epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.6051,1.51869,0.50777,0.9699,1.36191,0.0702013,0.00331096,0.00331096
2,44.6943,1.34978,0.37184,0.96602,1.61322,0.0401794,0.00662237,0.00662237
3,56.5407,1.34133,0.49223,0.95728,1.45762,0.0101355,0.00991178,0.00991178
4,71.4038,1.39019,0.51748,0.97087,1.30031,0.009901,0.009901,0.009901
5,104.814,1.38282,0.58252,0.95534,1.14848,0.009868,0.009868,0.009868
6,133.169,1.36056,0.52427,0.98738,1.18192,0.009835,0.009835,0.009835
7,165.264,1.33316,0.54951,0.97864,1.17224,0.009802,0.009802,0.009802
8,180.793,1.33415,0.47864,0.9932,1.3705,0.009769,0.009769,0.009769
9,198.781,1.28891,0.50971,0.98544,1.13888,0.009736,0.009736,0.009736
10,209.015,1.28516,0.51748,0.9699,1.23412,0.009703,0.009703,0.009703
11,226.403,1.3118,0.55437,0.97379,1.17461,0.00967,0.00967,0.00967
12,240.228,1.27634,0.58835,0.99515,0.99993,0.009637,0.009637,0.009637
13,251.162,1.2742,0.55825,0.98544,0.99882,0.009604,0.009604,0.009604
14,262.125,1.24053,0.48835,0.95728,1.28598,0.009571,0.009571,0.009571
15,272.969,1.21368,0.56893,0.97379,1.14844,0.009538,0.009538,0.009538
16,284.017,1.26105,0.59417,0.9932,1.00678,0.009505,0.009505,0.009505
17,299.327,1.21632,0.53883,0.96699,1.1719,0.009472,0.009472,0.009472
18,311.641,1.22804,0.52039,0.98641,1.08114,0.009439,0.009439,0.009439
19,325.029,1.20409,0.55631,0.97961,1.15163,0.009406,0.009406,0.009406
20,334.014,1.21104,0.57184,0.98932,1.02397,0.009373,0.009373,0.009373
21,347.583,1.20849,0.53204,0.99126,1.0518,0.00934,0.00934,0.00934
22,366.763,1.18854,0.57961,0.9932,1.03683,0.009307,0.009307,0.009307
23,384.415,1.15675,0.4301,0.97184,1.34357,0.009274,0.009274,0.009274
24,393.209,1.1668,0.6233,0.99709,0.94727,0.009241,0.009241,0.009241
25,410.263,1.13429,0.61942,0.99903,0.98507,0.009208,0.009208,0.009208
26,427.432,1.15447,0.55437,0.99223,1.04969,0.009175,0.009175,0.009175
27,446.459,1.14251,0.55534,0.94757,1.21276,0.009142,0.009142,0.009142
28,461.311,1.16216,0.58058,0.99223,1.02298,0.009109,0.009109,0.009109
29,471.224,1.16587,0.52816,0.97087,1.27603,0.009076,0.009076,0.009076
30,493.27,1.16135,0.59417,0.99806,0.99083,0.009043,0.009043,0.009043
31,514.928,1.14896,0.59903,0.99515,1.04383,0.00901,0.00901,0.00901
32,540.003,1.14559,0.58738,0.99903,1.00917,0.008977,0.008977,0.008977
33,573.957,1.11054,0.56602,0.99806,0.99568,0.008944,0.008944,0.008944
34,597.155,1.12189,0.58058,0.99612,0.98645,0.008911,0.008911,0.008911
35,635.027,1.08665,0.51456,0.98738,1.12253,0.008878,0.008878,0.008878
36,672.193,1.08761,0.62233,0.99612,0.9164,0.008845,0.008845,0.008845
37,694.414,1.04966,0.59709,0.99903,0.95394,0.008812,0.008812,0.008812
38,707.892,1.04351,0.65534,0.99612,0.84063,0.008779,0.008779,0.008779
39,752.955,1.05648,0.55825,0.99515,1.12618,0.008746,0.008746,0.008746
40,783.618,1.03196,0.4767,0.98447,1.28147,0.008713,0.008713,0.008713
41,807.142,1.01445,0.58738,0.99709,0.97677,0.00868,0.00868,0.00868
42,835.428,1.03221,0.53398,0.99903,1.01767,0.008647,0.008647,0.008647
43,860.959,1.05477,0.62427,0.99515,0.90885,0.008614,0.008614,0.008614
44,894.969,1.03898,0.5932,0.99417,0.97038,0.008581,0.008581,0.008581
45,917.378,1.0055,0.57087,0.99903,0.97035,0.008548,0.008548,0.008548
46,934.776,0.98012,0.64951,1,0.87299,0.008515,0.008515,0.008515
47,954.413,0.98805,0.60874,0.9932,0.93811,0.008482,0.008482,0.008482
48,968.829,1.00076,0.56505,0.99029,1.07499,0.008449,0.008449,0.008449
49,980.42,0.99624,0.48932,0.97282,1.29497,0.008416,0.008416,0.008416
50,1005.43,1.03003,0.50874,0.99126,1.11855,0.008383,0.008383,0.008383
51,1036.39,0.98527,0.61068,0.99612,0.97562,0.00835,0.00835,0.00835
52,1072.98,1.01547,0.55534,0.99417,1.00704,0.008317,0.008317,0.008317
53,1096.02,0.95955,0.61748,0.99806,0.868,0.008284,0.008284,0.008284
54,1115.97,0.95461,0.62524,0.99806,0.932,0.008251,0.008251,0.008251
55,1129.8,0.94983,0.64563,1,0.82321,0.008218,0.008218,0.008218
56,1147.18,0.96856,0.47282,0.99223,1.21709,0.008185,0.008185,0.008185
57,1165.15,1.0201,0.65146,0.99806,0.87427,0.008152,0.008152,0.008152
